Scenario,Guidelines Required,Question,Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
A 27-year-old woman in labor is pushing and working with her healthcare team to deliver her baby. She is receiving support during the second stage of labor to ensure a safe and healthy birth. She was told by her villagemates that labour that is not the first is less painful because then the mother is used.,Second stage of labor,"How has the patient's second stage of labor been managed, and what support has been provided to assist with the delivery of her baby?",Labour of children after the first is less painful.,"All pregnancies are unique and there is no such thing as being experienced when it comes to the pain although of course, labour is more scary to a first time mother.",Talk to mother and prepare her for labour. Teach her the proper pushing technique. Rescusitate mother with fluids. Support perineum while conducting delivery of the baby. Give a timely episiotomy if required. Prepare to receive the baby.
"A 29-year-old woman has just delivered her baby and is receiving care during the third stage of labor to ensure the safe delivery of the placenta and prevent complications. In her culture, the placenta is sacred and should not be handled by anyone, if handled carelessly the baby dies.",Third stage of labor,"How has the patient's third stage of labor been managed, and what steps have been taken to ensure the safe delivery of the placenta and prevent complications?","If placenta is handled carelessly, the baby dies.",The baby's life is not dependent on the placenta after delivery but rather on the care and attention rendered to him or her.,Massage uterus to ensure that there is no undiagonized twin. Administer oxytocin intramuscularly. Deliver cord by controlled cord traction. Check cord for completeness and any abnormalities. Expell any retained products and clean the mother.
"A 26-year-old pregnant woman is experiencing persistent nausea and vomiting, leading to dehydration and weight loss. She was told that only mothers with twin pregnancies get this condition. She is diagnosed with hyperemesis gravidarum and is receiving treatment to manage her symptoms and ensure her well-being.",Hyperemesis gravidarum,"How has the patient's hyperemesis gravidarum been diagnosed and managed, and what steps have been taken to address her symptoms and ensure her well-being?",Only women with twin pregnancies get hyperemesis gravidarum.,Any woman who is pregnant can get hyperemesis gravidarum.,Get up slowly from the bed. Brush teeth one hour after a meal. Avoid nausea triggers. Eat dry foods. Avoid foods that are too spicy and fatty. Use ginger. Get an antiemetic if it does not subside. Take plenty of fluids.
"A 30-year-old pregnant woman experiences a sudden loss of fetal movement and is devastated to learn that her baby has died in the womb. She says that once a baby dies from the womb, it becomes cursed. She is diagnosed with intrauterine fetal death and is receiving support and guidance on the management of her loss.",Intrauterine fetal death,"How has the patient's intrauterine fetal death been diagnosed and managed, and what support and guidance have been provided to help her cope with her loss?",A baby dying from the womb gets it cursed.,"When a baby dies in-utero, the woman is capable of becoming pregnant again.",Do tests like CBC and urinalysis. Treat any infection. Do an ultrasound scan. Terminate pregnancy immediately. Take plenty of fluids. Take antibiotics as prescribed.
"A 28-year-old pregnant woman is informed that her baby is in a breech presentation, with the feet or buttocks positioned to be delivered first. She was told that only a traditional birth attendant can delivery a breech without cutting her open. She is seeking guidance on the management of her delivery and the options available to her.",Breech presentation,"How has the patient's breech presentation been diagnosed and managed, and what options have been discussed for the delivery of her baby?",Only traditional birth atendants can delivery a breech without operative procedure.,"Many mothers have lost their lives at the hands of traditional birth attendants. If there is no contraindication to vaginal delivery, a breech can be safely delivered in the hospital.",Do an ultrasound scan. Administer fluids to the mother. Monitor fetal wellbeing. Do pelvictometry to assess that the pelvs is adequate. Prepare for newborn rescsitation.
"A 27-year-old pregnant woman experiences increased thirst, frequent urination, and fatigue. She was told that gestational diabetes only affects overweight people and that sweets are strictly avoided. She is diagnosed with gestational diabetes and is receiving treatment to manage her blood sugar levels and ensure a healthy pregnancy.",Gestational diabetes,"How has the patient's gestational diabetes been diagnosed and managed, and what steps have been taken to control her blood sugar levels and ensure a healthy pregnancy?",Gestational diabetes only affects overweight people and the person has to avoid sweets strictly.,People with extra weight are at a higher risk of getting gestational diabetes but even people with a low or normal weight can suffer the complication. Sweets restriction is not necessary as long as blood sugar control is done diligently.,Take a random blood sugar test. Take weight and height measurement. Eat a balanced diet. Eat every after 2 hours. Do exercises daily. Follow the treatment plan.
A 29-year-old pregnant woman is experiencing regular contractions and signs of labor before her due date. She is diagnosed with preterm labor and is receiving treatment to delay the birth and ensure the health of her baby. The lady believes in the way of nature and she says that whatever is meant to happen will happen.,Preterm (premature) labor,"How has the patient's preterm labor been diagnosed and managed, and what steps have been taken to delay the birth and ensure the well-being of her baby?","Whatever is meant to happen will happen, nature determines.",Preterm labor is not natural and should be prevented. Preterm labor can be caused by infections or trauma.,Get plenty of rest. Do an ultrasound scan. Take plenty of fluids. Do tests like CBC and urinalysis and treat any infection. Follow the treatment plan.
"A pregnant woman with complications is being referred to a higher-level health facility for specialized care. The woman blames the health care, she is saying that it has failed her. The healthcare team is following guidelines to ensure her safety during referral and transport.",Referral,"How has the referral of the pregnant woman with complications been managed, and what steps have been taken to ensure her safety during referral and transport?",Referral indicates failure of the health care system.,"If referral is done timely, it is the best decision to same a woman's life and that of the baby because not all facilities offer the same services.",Ensure continuous rescusitation of the mother witj fluids and oxygen. Insert catheter for continuous bladder drainage. Give detailed records in the patient's file. Monitor fetal wellbeing continuosly. Assure mother that everything is going to be done to make her well.
A health facility is experiencing a shortage of essential supplies for maternal and newborn care. The healthcare team is seeking support and resources to ensure the provision of quality care to patients. Some of the stuff are saying that a hospital cannot only survive on donors.,Health supplies,"How has the health facility addressed the shortage of essential supplies for maternal and newborn care, and what steps have been taken to ensure the provision of quality care to patients?",A hospital can only survive on donors.,A hospital can very survive without aid from donors as long as it us run by a good management.,Improve management. Continuous take of stalk should be done. Records should be kept very well. Order for more material shpould be done timely.
"A 33-year-old pregnant woman is experiencing fatigue, weakness, and shortness of breath. She was told that anaemia can progress into leukemia. She is diagnosed with anemia in pregnancy and is receiving treatment to manage her condition and ensure her well-being.",Anaemia in pregnancy,"How has the patient's anemia in pregnancy been diagnosed and managed, and what steps have been taken to address her symptoms and ensure her well-being?",Anaemia can progress into leukemia.,"Anaemia cannot directly progress into leukeima but anaemia can result from leukemia. In the case of leukemia, the red blood cells are faulty while in anaemia, the red blood cell count can be low but cells not faulty.","Do tests like CBC, blood grouping and crossmatching. Take plenty of fluids. Increase nutritional intake of iron, take iron suplements given during ANC. Follow the treatment plan."
"A 27-year-old pregnant woman is experiencing fever, chills, and body aches. She is diagnosed with malaria in pregnancy and is receiving treatment to manage the infection and ensure the health of her baby. She believes that malaria is not a deadly disease and it can heal in no time.",Management of malaria in pregnancy,"How has the patient's malaria in pregnancy been diagnosed and managed, and what steps have been taken to ensure the well-being of both the mother and the baby?",Malaria is not a deadly disease.,"Malaria has claimed a number of lives and during pregnancy, the risk is heightened, it should therefore be treated with urgency.","Do tests like blood smear test, CBC, blood grouping and crossmatching. Take plenty of fluids. Get medication from a recognized facility and adhere to the treatment. Eat plenty of fluits. Eat a balanced diet. Adopt measures to fight against malaria."
"A 29-year-old pregnant woman is experiencing severe headaches, blurred vision, and swelling of the hands and face. She thinks that high blood pressure means that one has too much blood. She is diagnosed with hypertensive disorders in pregnancy and is receiving treatment to manage her condition and prevent complications.",Management of hypertensive disorders in pregnancy,"How has the patient's hypertensive disorders in pregnancy been diagnosed and managed, and what steps have been taken to prevent complications and ensure her well-being?",High blood pressure means one has too much blood.,"High blood pressure doesnot mean that the blood is too much because there are various causes. It can be caused by narrowing od blood vessels, trophoblastic invasion, genetic predisposition and others.","Do tests like CBC, urinalysis, RFTs, LFTs and others. Do an ultrasound scan. Take anticonvulsants and antihypertensives as prescribed. Follow the treatment plan."
A 32-year-old woman who recently gave birth and tested positive for COVID-19 is experiencing mild symptoms. She is receiving postpartum care and seeking guidance on the management of her recovery and the care of her newborn. She was told that the vaccine can cause infertility.,Postpartum care in COVID-19 mothers,"How has the patient's COVID-19 been managed during the postpartum period, and what steps have been taken to ensure her well-being and the health of her newborn?",COVID-19 vaccine causes infertility.,COVID-19 vaccine is not scientifically proved to have any connection with fertility. Fertility can be caused by a number of reasons like hormonal imbalance and abmormalties on the uterus.,Isolate from others to avoid spreading the disease. Take plenty of fluids. Take immune boosters like vitamin suplements. Eat more fruits. Wash hands regularly.
"A newborn baby is receiving immediate care within the first 60 minutes of life, including assessment, drying, warming, and initiation of breastfeeding. The healthcare team is following guidelines to ensure the baby's well-being. According to culture, the mother insists that the baby should be given herbs to open the gastrointestinal tract.",Immediate Care in the first 60 minutes,"What immediate care has been provided to the newborn within the first 60 minutes of life, and how has the healthcare team followed guidelines to ensure the baby's well-being?",A baby must be given herbs to open the gastrointestinal tract.,"Herbs are usually not kept aseptically and anything other than breastmilk should not be given to the baby orally, this an increase the risk of enterocolotis. ","Clean, dry and keep the baby warm. Initiate breast feeding. Monitor vital signs. Maintain skin-to-skin with the mother. Weigh the baby and take the length. Cut cord and make sure it is not bleeding. Administer the routine medication."
"A newborn baby has been identified with danger signs, including difficulty breathing and poor feeding. The mother put charms around the baby's waist to protect her from illnesses. The healthcare team is providing care to address the baby's needs and ensure their well-being.",Care provided for a Newborn identified with danger signs,"How has the newborn been assessed and diagnosed with danger signs, and what care has been provided to address their needs and ensure their well-being?",Charms given to the baby after delivery protect him or her from illnesses.,"Good care, adequate attention to details are good enough to watch out for danger signs and manage them timely.",Monitor the baby's vital signs. Watch for the baby's cry. Keep baby dry and warm. Breastfeed the baby regularly. Check if the baby has passed urine and stool.
A newborn baby with signs of severe illness is being referred to a higher-level health facility for specialized care. The mother fears that  her baby will always have complications. The healthcare team is following guidelines to ensure the baby's safety during referral and transport.,Referral of a sick Newborn,"How has the referral of the sick newborn been managed, and what steps have been taken to ensure the baby's safety during referral and transport?",The baby will always have complications.,"If the baby is treated adequately, he or she can grow up normally and may not have any complications.",Identify the baby and put down the details on an identification card. Always keep the baby dry and warm. Feed the baby regularly. Administer medication timely. Encourage kangaroo care. 
"A community is actively participating in reproductive health programs to improve maternal and newborn health. Community members are engaged in education, advocacy, and support activities to promote healthy practices. Some community members think that it is a wastage of time to go the hospital when not sick.",Community participation in reproductive health programs,"How has the community been engaged and involved in reproductive health programs, and what activities have been implemented to promote maternal and newborn health?",Going to the hospital when not sick is a wastage of time.,It is important to have regulary hospital visits for screening and a healthy check. This helps to foresee and manage risks of diseases before one is sick. ,Encouraging evrone to participate in the identification of community health problems. Encouraging collective participation in identifying and implementing solutions to those problems. Teaching the community about the available government health programs.
"A 29-year-old breastfeeding mother is experiencing breast pain, swelling, redness, and flu-like symptoms. Her grandmother told her that babies gain weight when not exclusively breastfed but fed on infant formulars so she will just stop breastfeeding. She is diagnosed with mastitis and is receiving treatment to manage the infection and ensure her well-being.",Mastitis,"How has the patient's mastitis been diagnosed and managed, and what steps have been taken to address her symptoms and ensure her well-being?",Babies gain weight faster when not breastfed exclusively but also fed on infant formulars and others.,"A baby is supposed to be breastfed exclusively for atleast 6 months and then weaned after but breastfeeding should continue up to atleast 2 years. And with mastitis, it is important to continue breastfeeding to prevent engorgement.",Do tests like CBC and other specific senstive tests. Take antibiotics as expected. Continue breastfeeding.
"A 27-year-old breastfeeding mother is experiencing severe breast pain, swelling, and signs of infection. She thinks that there is stone that entered her breast. She is diagnosed with a breast abscess and is receiving treatment to drain the abscess and manage the infection. ",Breast abscess,"How has the patient's breast abscess been diagnosed and managed, and what steps have been taken to address the infection and ensure her well-being?",A stone entered the breast and caused an abscess.,Breast abscess usually follows after mastitis and is caused by a bacterial infection.,Use a warm compress. Get a support bra to hold the breast in one place. Continue breast feeding. Follow the treatment plan. Take antibiotics as prescribed.
"A 30-year-old pregnant woman who is living with HIV/AIDS is receiving antiretroviral therapy and seeking guidance on the management of her pregnancy and the prevention of mother-to-child transmission. She was told that since she has HIV, she shouldn’t beome pregnant, now she is worried about her baby.",HIV/AIDS in pregnancy,"How has the patient's HIV/AIDS been managed during her pregnancy, and what steps have been taken to prevent mother-to-child transmission and ensure the well-being of both the mother and the baby?",A woman with HIV/AIDS shouldn’t get pregnant.,One is capable of giving birth to an HIV/AIDS free baby as long as they are adhering to their medication.,Do viral cell count. Reassess medication regimen with pregnancy. Eat a blanced diet. Get enough rest. Take plenty of fluids. Adhere to medication plan to deliver from a hospital.
"A 28-year-old pregnant woman living in an area affected by a viral hemorrhagic fever outbreak is seeking information and guidance on the management of her pregnancy and the prevention of infection.  She thinks that if she doenot talk to people at all, then she cannot get the disease.","Viral hemorrhagic fever (Ebola, Marburg, Lassa, Yellow, etc.)","How has the patient's risk of viral hemorrhagic fever been assessed and managed during her pregnancy, and what steps have been taken to prevent infection and ensure her well-being and the health of her baby?","If one doesnot talk to people, she cannot get the disease.",Not talking to people is not enough because touching contaminated surfaces can also cause soemone to become sick.,Isolate from others to avoid spreading the disease. Take plenty of fluids. Eat plenty fluids. Take immune boosters like vitamin supplements.
A 26-year-old pregnant woman who has tested positive for COVID-19 is experiencing mild symptoms and is receiving intrapartum care. She was told that the COVID-19 vaccine can cause a miscarriage. She is seeking guidance on the management of her delivery and the prevention of transmission to her baby.,Intrapartum care for COVID-19 in pregnancy,"How has the patient's COVID-19 been managed during the intrapartum period, and what steps have been taken to prevent transmission to the baby and ensure a safe delivery?",COVID-19 vaccine can cause miscarriage.,There is no evidence that this is true and should therefore not be taken as a fact.,Take plenty of fluids. Take immune boosters like vitamin supplements. Avoid crowded areas. Wash hands regularly or use a sanitizer. 
"A 27-year-old woman who recently gave birth and lost a significant amount of blood during delivery is receiving a blood transfusion to help with her recovery. In her village, blood transfusion is for the dying and it is just a delay technique. In The healthcare team is monitoring her closely to ensure her safety.",Blood transfusion,"How has the patient's need for a blood transfusion been determined and managed, and what steps have been taken to ensure her safety and well-being during the transfusion?",Blood transfusion is for the dying people and it is just a technique to delay death.,"Blood transfusion is a measure employed to save one's life, it doesnot mean that someone is goinng to die, people get transfused and they bounce back to good health.","Do tests like CBC, blood grouping and crossmatching. Ensure safety of the bood before transfusion.  Ensure asceptic techinique when carrying out the trasnfusion. Place patient in a comfortable position."
"A 25-year-old pregnant woman is experiencing frequent urination, pain during urination, and lower abdominal pain. She was told that UTIs never heal. She is diagnosed with a urinary tract infection and is receiving treatment to manage the infection and ensure her well-being.",Urinary tract infections in pregnancy,"How has the patient's urinary tract infection been diagnosed and managed during her pregnancy, and what steps have been taken to ensure her well-being and address the associated symptoms?",UTIs never heal.,A UTI can heal if treated urgently and supportive management done aggressively.,Clean the toilets or latrines daily. Practice good toilet manners. Take plenty of fluids. Empty bladder regularly. Take antibiotics as precribed.
"A 30-year-old pregnant woman is experiencing abnormal vaginal discharges with an unusual odor and discomfort. In her village, it is believed that abnormal vaginal discharge is caused by fish soup pouring in your private parts. She is seeking guidance on the management of her symptoms and the potential impact on her pregnancy.",Abnormal vaginal discharges,"How has the patient's abnormal vaginal discharge been diagnosed and managed during her pregnancy, and what steps have been taken to address her symptoms and ensure her well-being?",Abnormal vaginal discharge is caused by fish soup pouring in genitals.,"Abnormal vaginal discharge is caused by a bacterial or protozoal infection and if treated, it normalizes.","Do tests like CBC, urinalysis and other specific tests. Maintain a good hygiene. Wash undergarments thoroughly and sundry them. Take medication as prescribed."
A 28-year-old pregnant woman is experiencing painful genital ulcers and is seeking information and guidance on the management of her condition. She was told that genital ulcers can be transmitted through blood.,Genital ulcers,"How has the patient's genital ulcers been diagnosed and managed during her pregnancy, and what measures have been taken to address her symptoms and ensure her well-being?",Genital ulcers can be transimitted through blood.,"Genital ulcers is not present in blood, it therefore cannot be passed on via blood. Only skin-to-skin contact is important which can be oral or genital.",Maintain good hygiene. Do tests like CBC and other specific ones. Get partner tested and treated as well. Follow the treatment plan.
"A 26-year-old pregnant woman is experiencing genital warts and is seeking treatment and guidance on the management of her condition. She was told if she showers immediately after sex, then she will not get infection.",Genital warts,"How has the patient's genital warts been diagnosed and managed during her pregnancy, and what steps have been taken to address her symptoms and ensure her well-being?",Showering immediately after sex protects from any infection.,"Sexually transmitted infections are transferred via skin-to-skin contact, the only way one can protect themselves is by using a condom.",Do tests like CBC and other specific senstive tests. Take antibiotics as expected. Practise safe sex.
"A 25-year-old pregnant woman experiences sudden, sharp pain in her lower abdomen and vaginal bleeding. She is diagnosed with an ectopic pregnancy and is seeking information and guidance on the management of her condition. She was told that if she prays everyday will have her pregnancy shift and become normal.",Ectopic pregnancy,"How has the patient's ectopic pregnancy been diagnosed and managed, and what steps have been taken to ensure her well-being and address the associated risks?",Praying everyday rectifies an ectopic pregnancy.,"An ectopic pregnancy cannot be shifted to the uterus but with God's intervasion, one can concieve and have a normal pregnancy.",Do an ultrasound scan. Do an HCG test. Take plenty of fluids. Follow the treatment plan.
"A 30-year-old pregnant woman experiences sudden, heavy vaginal bleeding and abdominal pain. She ate small fish and she says these injured the baby and so the baby is bleeding. She is diagnosed with antepartum hemorrhage and is receiving treatment to manage the bleeding and ensure the safety of her and her baby.",Antepartum hemorrhage,"How has the patient's antepartum hemorrhage been diagnosed and managed, and what measures have been taken to ensure the well-being of both the mother and the baby?",Small fish bones harm the baby and lead to bleeding.,"In antepartum haemorrhage, the blood is not coming from the baby, it is from the placenta in most cases due to placenta previa or abpruptio placentae. And besides that, bones ingested are crushed, there is no way that they harm the baby.","Get plenty of rest. Take plenty of fluids. Do an ultrasound scan. Do tests like CBC, blood grouping and crossmatching. Follow the treatment plan."
A 28-year-old woman experiences heavy bleeding after delivering her baby. She is diagnosed with postpartum hemorrhage and is receiving treatment to manage the bleeding and ensure her safety. She was told that postpartum haemorrhage only happens to people with multiple pregnancies.,Postpartum hemorrhage,"How has the patient's postpartum hemorrhage been diagnosed and managed, and what steps have been taken to ensure her safety and well-being?",PPH only happens to people with multiple pregnancy.,"Every woman who delivers is at risk of PPH and if it happened in a previous pregnancy, the risk is higher.",Check if the uterus is well contracted. Check if the bladder is empty. Check if there are any tears on the cervix or in the vaginal canal. Check if there are any retained products in the uterus. Check on the status of the clotting factors. Administer medication to promote uterine contraction and controlling bleeding like oxytocin and tranexamic acid.
A 26-year-old woman experiences heavy vaginal bleeding two weeks after giving birth. She was told that this is happening because the baby left a big wound in her uterus. She is diagnosed with secondary postpartum hemorrhage and is receiving treatment to manage the bleeding.,Secondary postpartum hemorrhage,"How has the patient's secondary postpartum hemorrhage been diagnosed and managed, and what steps have been taken to address the bleeding and ensure her well-being?",Secondary PPH is caused by a big wound left by the baby.,"When the baby is delivered, the placenta peels off the uterine decidua but after this, the uterus contracts therefore reducing the size of the wond created, this also helps to occlude any bleeders. Bleeding may happen if the uterus doesnot contract very well.",Check if the uterus is well contracted. Check if the bladder is empty. Check if there are any tears on the cervix or in the vaginal canal. Check on the status of the clotting factors. Administer medication to promote uterine contraction and controlling bl
A 32-year-old woman experiences severe abdominal pain and heavy bleeding during labor and reports that contractions have stopped. She fears that her uterus is going to be cut out and her baby is going to die. She is diagnosed with a ruptured uterus and is undergoing emergency surgery to manage the condition and ensure her safety. ,Ruptured uterus,"How has the patient's ruptured uterus been diagnosed and managed, and what measures have been taken to ensure her safety and address the associated risks?","When uterine rupture occurs, the baby always dies and the uterus is removed.","Uteriune rupture is an absolute emergency, the baby can die and the tear can be irreperable but if handled timely, the baby can survive and the uterus can de repaired depending also on the degree of the tear.",Transfer mother to theater immediately. Connect fluids and deliver the baby as soon as possible.
A 28-year-old woman who had an abortion is experiencing heavy bleeding. She claims that her baby is punishing her for the abortion. The healthcare team is providing treatment to manage the hemorrhage and ensure her safety.,Management of hemorrhage due to abortion,"How has the patient's hemorrhage following her abortion been managed, and what steps have been taken to ensure her safety?",Baby is punishing mother for the abortion.,"Abortion is a heavy decision to make and mother must have good reasons so that the guilt does not weigh down on her. Bleeding after an abortion can occur due to poor healing of the uterus, this can be managed.","Do an ultrasound scan. Report to the hospital immediately. Do tests like CBC, blood grouping and crossmatching."
A 27-year-old woman who had an abortion is experiencing abdominal pain and signs of infection. Her grandmother gave her herbs to drink and wash her uterus. The healthcare team is providing treatment to address the complications and monitoring her closely.,Management of abortion complications,"How have the patient's abortion complications been managed, and what measures have been taken to ensure her well-being?",Herbs wash the uterus after an abortion.,The safety of herbs is not guaranteed and they are also not easily regulated. Something can easily go wrong with them.,Do an ultrasound scan. Take plenty of fluids. Take antibiotics as prescribed. Get a family planning method to delay pregnancy.
"A 25-year-old woman who had an abortion is experiencing fever, abdominal pain, and foul-smelling vaginal discharge. In the village, she was given herbs to drink, these could make the pregnancy to get lost.The healthcare team is providing treatment for suspected sepsis following the abortion and monitoring her closely.",Management of sepsis following abortion,"How has the patient's suspected sepsis following her abortion been diagnosed and managed, and what measures have been taken to ensure her well-being?",Herbs can make a pregnancy to get lost.,Herbs safety cannot be guaranteed and there dosage is not easily regulated. A pregnancy can get lost when intention is done to abort it.,Do an ultrasound scan. Take plenty of fluids. Maintain a good hygiene. Eat a balanced diet. Follow the treatment plan.
A 29-year-old woman who had an abortion is feeling emotionally distressed and is seeking support. She thinks that she is always her babies. The healthcare team is providing post-abortion counseling to help her cope with her feelings and provide guidance.,Post-abortion counseling,"What post-abortion counseling has been provided to the patient, and how has she been supported in coping with her emotions?","After abortion, babies always die.","After abortion, a woman is suppoed to take sometime before becoming pregnant and there are chances that other babies can survive though it also depends on the cause of the abortion.",Do an ultrasound scan. Take antibiotics as prescribed. Get a family planning method to use until ready to get pregnant again.
A 30-year-old woman has been diagnosed with gestational trophoblastic disease during a routine ultrasound examination. She fears that her uterus is faulty. She is seeking information and guidance on the management of her condition.,Gestational trophoblastic disease management,"How has the patient's gestational trophoblastic disease been diagnosed and managed, and what measures have been taken to ensure her well-being and the health of her baby?",Gestational trophoblastic disease happens because the uterus is faulty.,Gestational trophoblastic disease is caused when a sperm fertilizes an empty egg orr when two spams fertilize a normal egg.,Do an ultrasound scan. Inquire about chemotherapy. Do regular HCG tests. Follow the treatment plan.
"A 15-year-old pregnant teenager is experiencing fetal distress, with changes in the baby's heart rate. She was told that its is normal for the fetal heartrate to go down towards delivery. The healthcare team is monitoring the situation closely and considering options for a safe delivery.",Fetal distress,"How has the patient's fetal distress been managed during labor, and what options have been considered to ensure the well-being of the baby?",A baby's heartbeat goes towards delivery.,"During delivery, the baby descends and the location of the heartbeat goes lower but the actual heart rate should remain in the normal range.",Rescucitate fetus in utero with fluids IV and oygen through an oxygen mask os nasal prongs. Continue monitoring the fetal heartrate. Deliver the baby as soon as possible.
"A 35-year-old woman has just delivered her baby and is receiving postpartum care. The healthcare team is monitoring her vital signs, assessing her recovery, and providing support for breastfeeding and newborn care. The mother was told that the first milk is bad and should not be given to the baby.",Postpartum care,"What postpartum care has been provided to the patient, and how has her recovery and the care of the newborn been managed?",Colostrum is bad and should not be given to the baby.,Colostrum is most nutritious and should be given to the baby.,Provide a clean environment for the mother to rest. Provide some food for the mother to eat. Continuously empty the bladder. Maintain skin-to-skin with the baby. Breastfeed the baby as early as possible.
"A 45-year-old breastfeeding mother is experiencing painful swelling of the breasts, making it difficult for her to breastfeed. She thinks that she was supposed to have twins because her milk is too much.The healthcare team is providing treatment and guidance to help alleviate her discomfort.",Breast engorgement,"How has the patient's breast engorgement been managed, and what steps have been taken to provide relief and support for breastfeeding?",Lack of a twin children causes the milk to overflow.,Breast engorgement occurs because the mother makes more milk than the baby can consume. Sometimes beause of excess prolactin hormone or if the baby has a complication that hinders maximum feeding. It can also happen when the mother does not breast feed the child by choice.,"Harvest the milk by expressing it manually into baby feeding bottles. Use a warm compress and breast feed the child more often. In case of absence of a child, report to the health facility for treatment."
"A 40-year-old breastfeeding mother is experiencing cracked and sore nipples, causing her pain and discomfort during breastfeeding. In her village people are spreading rumors about her that she is a bad mother and that is why she has problems. The healthcare team is providing treatment and advice to help her continue breastfeeding.",Cracked/sore nipples,"How has the patient's cracked and sore nipples been managed, and what advice has been provided to help her continue breastfeeding?",Bad mothers get problems like cracked niples.,"Most mothers experience this because of various reasons like poor breastfeeding techniques, wearing tight bras and harsh breast pads and severe dry skin.","Express some milk, apply it around the affected area and leave it exposed. Practice proper positioning and attachment when breastfeeding. Continue breastfeeding. Attend health education techniques. If the pain is too much, then get some painkillers."
"A 20-year-old woman who recently gave birth is experiencing fever, abdominal pain, and foul-smelling vaginal discharge. In her culture, women don’t bathe after giving birth until after the umblical cord of their baby is dry. The healthcare team is providing treatment for suspected puerperal sepsis and monitoring her closely.",Puerperal sepsis,"How has the patient's suspected puerperal sepsis been diagnosed and managed, and what measures have been taken to ensure her well-being?",No bathing after delivery until after the cord of the baby is dry.,"Maintaining good hygiene is one of the ways to prevent peuperal sepsis, it should therefore be empasized.",Maintain good hygiene. Do tests like CBC and urinalysis. Take antibiotics as prescribed.
"A 29-year-old woman in labor has a shoulder presentation, which is obstructing the delivery process. She was given a concoction to make the baby turn but it did not work. The healthcare team is providing support and considering options for a safe delivery.",Shoulder presentation,"How has the patient's shoulder presentation been managed during labor, and what options have been considered for a safe delivery?",Concoctions can make the baby turn.,"Trying a cephalic version is very risk, the baby can be lost plus the mother. And concoctions are not easily regulated, this can lead to complications.",Do an ultrsound scan. Follow the managemt plan.
"A 30-year-old woman in labor is experiencing shoulder dystocia, making it difficult to deliver the baby. She fears that her baby has an abnormality and that is why he is not coming out well. The healthcare team is working quickly to resolve the situation and ensure a safe delivery.",Shoulder dystocia (stuck shoulders),"How has the patient's shoulder dystocia been managed during labor, and what steps have been taken to ensure a safe delivery?",Babies with an abnormality are the ones that do not come out well.,"Shoulder dystocia happens either when the baby is big, the pelvis is small or in cases of malposition.","Assure the mother and guarrantee her cooperation. Don’t panic. Call for help. Refer to a higher facility if the mother cannot be managed. Follow the manouever procedures to delivery the baby. If everything fails, delivery by cesearean section."
"A 28-year-old woman in labor has a compound presentation, with the baby's hand presenting alongside the head. She failed to participate in rituals and she says it’s the reason as to why she is having complications. The healthcare team is considering the best approach for a safe delivery.",Compound presentation,"How has the patient's compound presentation been managed during labor, and what approach has been taken for a safe delivery?",Participate in rituals and the labour will go well.,Compound presentation is caused by a number of reasons like prematurity and can happen to any one.,Do an ultrsound scan. Prepare for delivery follow the treatment plan.
"A 26-year-old woman in labor is experiencing prolonged labor, with slow progress in the active phase. She ate coconuts and she was told that it is why has prolonged labour. The healthcare team is monitoring her closely and considering interventions to assist with the delivery.",Prolonged labor; Prolonged active phase,"How has the patient's prolonged labor and active phase been managed, and what interventions have been considered to assist with the delivery process?",Eating coconuts while pregnant causes prolonged labour.,"Prolonged labour is caused by reasons like cervical dystocia, weak contractions and other factors. This has no proven connection to eating coconuts.","Explain and assure the mother to guarantee her cooperation. Connect fluids. Monitor fetal heartrate. Refer mother if she cannot be managed. Augment with oxytocin, if it fails then cesearean section is considered."
"A 27-year-old woman in labor has cord prolapse, with the umbilical cord descending before the baby. The mother says this is caused by the fact that she jumped over the rope of a cow. The healthcare team is taking immediate action to prevent complications and ensure a safe delivery.",Cord prolapse,"How has the patient's cord prolapse been managed during labor, and what steps have been taken to prevent complications and ensure a safe delivery?",Jumping over the rope of a cow causes cord prolapse.,"Cord prolapse can occur due to prematurity, malpresentation, contracted pelvis, multiple pregnancy hydraminous an others. These causes are not connected to jumping over a rope.",If the cord is pulsating then assure her mother to ensure her cooperation. Put the mother in knee chest position while the mother is being prepared for theater. Perform intrauterine rescusitation by administering oxygen and fluids. Refer if mother cannot be managed.
"A 27-year-old woman with a prolonged labor requires induction to assist with the delivery process. In her culture, when a girl jumps over salt, then she will not give birth. She fears that it could be cause of the delay. The healthcare team is considering the use of oxytocin to augment her labor.",Induction and augmentation of labor; Augmentation of labor using oxytocin,"How has the patient's prolonged labor been managed, and what steps have been taken to induce and augment her labor using oxytocin?",Jumping over salt causes infertility.,"Prolonged labour is caused by reasons like cervical dystocia, weak contractions and other factors. This has no proven connection to jumping salt.","Explain and assure the mother to guarantee her cooperation. Connect fluids. Monitor fetal heartrate. Refer mother if she cannot be managed. Augment with oxytocin, if it fails then cesearean section is considered."
