Scenario,Keywords,Question,Guidelines Targeted,Health screening Questions (2-5),Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
ella 27 year old pregnant woman believe malaria result exposure cold weather avoid go outside become socially isolate,"Malaria, Cold weather, Beliefs, Social isolation",How would you address Ella's beliefs about cold weather and malaria? How would you provide her with evidence-based information on the causes of malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend ANC? Do you attend health education talks? Which measures do you employ to fight against malaria?,Malaria is caused by exposure to cold weather.,Malaria is caused by a bite from an infected mosquito but not bad weather.,Attend ANC regularly. Attend health education talks for reliable information. Adopt measures for protection against malaria.
scarlett 26 year old pregnant woman influence online misinformation suggest pregnant woman malaria avoid drink milk become malnourished due dietary restriction,"Malaria, Milk, Dietary restrictions, Malnutrition",How would you address Scarlett's beliefs about milk and malaria? How would you provide her with evidence-based dietary advice during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend health education talks? Do you attend ANC? Do you have knowledge on balanced diets?,Pregnant women with malaria should avoid milk.,"Milk is a rich in proteins and fats, these are good for the body and espescially when the woman is pregnant. ",Attend health education talks for accurate information. Attend ANC regularly. Eat a balanced diet.
zoe 24 year old pregnant woman believe malaria cure consume herbal remedy avoid prescribe antimalarial drug resort use various herb,"Malaria, Herbal remedies, Antimalarial drugs, Alternative medicine",How would you address Zoe's reliance on herbal remedies for malaria treatment? How would you ensure her adherence to evidence-based treatments for malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend ANC? Do you attend health education talks? Which measures do you employ to fight malaria?,Herbal remedies cure malaria.,"There is no scientific proof between herbal remedies and malaria cure, they should therefore be used with caution.",Attend health education talks. Attend ANC regularly. Take antimalarials as prescribed.
aaliyah 23 year old pregnant woman read social medium malaria cause exposure excessive sunlight avoid go outside day become vitamin deficient,"Malaria, Sunlight, Vitamin D deficiency, Misinformation",How would you address Aaliyah's beliefs about sunlight and malaria? How would you provide her with evidence-based information on the importance of sun exposure for vitamin D during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend ANC? Do you attend health education talks? Which measures do you employ to fight malaria?,Malaria is caused by exposure to excess sunlight.,Exposure to excess sunlight has no connection to the cause of malaria.,Attend health education talks. Attend ANC regularly. Take antimalarials as prescribed.
madison 28 year old pregnant woman influence online misinformation suggest malaria result poor hygiene becomes obsess cleaning experience anxiety,"Malaria, Poor hygiene, Obsessive cleaning, Anxiety",How would you address Madison's beliefs about hygiene and malaria? How would you provide her with evidence-based information on the causes of malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",How much do you know about malaria? Do you attend health education talks? Do you attend ANC?,Malaria is caused by poor hygiene.,Poor hygiene can put one at a risk of contacting various infection but it is not directly linked to the cause of malaria.,Attend ANC regularly. Attend health education talks. Adopt measures to fight against malaria. 
savannah 25 year old pregnant woman hear myth friend malaria sign pregnancy complication become overly anxious avoid seek medical care,"Malaria, Pregnancy complications, Myths, Anxiety",How would you address Savannah's beliefs about malaria and pregnancy complications? How would you ensure her adherence to evidence-based treatments for malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Which measures do you employ to fight against malaria? Do you attend ANC?,Malaria is a sign of malaria complication.,Malaria is one of the diseases that can complicate pregnancy but  it can be prevented or cured and thre complication is then eliminated.,Adopt measures for protection against malaria. Attend ANC regularly.
brooklyn 26 year old pregnant woman believe malaria contagious disease isolate become lonely depressed,"Malaria, Contagious, Social isolation, Depression",How would you address Brooklyn's beliefs about malaria being contagious? How would you provide her with evidence-based information on the causes of malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend health education tralks? Do you attend ANC? Which measures do you employ to fight malaria?,Malaria is contagious.,Malaria is caused by a bite from an infected mosquito. Malaria is not directly contagious but sharing a a room with an infeted person can put ont at risk as a mosquito can migrate from biting the sick person to biting a healthy one.,Attend ANC regularly. Attend health education talks. Adopt measures to fight against malaria. 
harper 27 year old pregnant woman read online malaria cause eat certain vegetable avoid vegetable become nutrient deficient,"Malaria, Vegetables, Dietary restrictions, Nutrient deficiency",How would you address Harper's beliefs about vegetables and malaria? How would you provide her with evidence-based dietary advice during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Which measures do you employ for protection against malaria? Do you attend ANC? Do you eat a balanced diet?,Malaria is caused by eating certain vegetables.,"Vegetables are rich in minerals crutial for blood cell production, it is therefore necessary to add them to the diet.",Eat a balanced diet. Adhere to the medication. Attend ANC and get malarial treatment and adhere to the treatment.
evelyn 29 year old pregnant woman influence online misinformation suggest malaria cure fast avoid eating become malnourished,"Malaria, Fasting, Malnutrition, Misinformation",How would you address Evelyn's beliefs about fasting and malaria? How would you ensure her adherence to evidence-based treatments for malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend health education talks? Do you attend ANC? Which measures do you employ to fight against malaria?,Malaria can be cured by fasting.,Fasting builds faith but it does not cure malaria.,Get antimalarials from a recognized facility. Attend ANC regularly. Attend health education talks.
riley 30 year old pregnant woman hear myth relative malaria result bad spirit avoid seek medical treatment rely spiritual ritual,"Malaria, Bad spirits, Beliefs, Spiritual rituals",How would you address Riley's beliefs about bad spirits and malaria? How would you ensure her adherence to evidence-based treatments for malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Which measures do you employ for protection against malaria? Do you attend ANC? ,Malaria is a result of bad spirits.,"Malaria is caused by a bite from an infected mosquito, bad spirits or one, anyone can suffer from malaria.",Attend ANC regularly. Attend health education talks. Adopt measures to fight against malaria. 
mia 28 year old pregnant woman believe malaria result negative thought avoid think negatively still get malaria,"Malaria, Negative thoughts, Beliefs, Psychological stress",How would you address Mia's beliefs about negative thoughts and malaria? How would you provide her with evidence-based information on the causes of malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend health education talks? Do you attend ANC? Which measures do you employ to fight against malaria.,Malaria is a result of negative thoughts.,Negative thought can cause stress which is not good for the health but they have nothing to do with malaria causation.,Attend health education talks. Attend ANC regularly. Take antimalarials as prescribed.
avery 27 year old pregnant woman influence online misinformation suggest malaria result poor parenting become guilty avoid seek medical care,"Malaria, Poor parenting, Guilt, Misinformation",How would you address Avery's beliefs about poor parenting and malaria? How would you ensure her adherence to evidence-based treatments for malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Which measures do you employ to fight against malaria? Do you attend ANC? Do you have a birth delivery plan?,Malaria is a result of poor parenting.,Poor parenting has nothing to do with malaria. Malaria is caused by a bite from an infected mosquito.,Adopt measurea for protection against malaria. Attend ANC regularly. Attend health education talks.
chloe 26 year old pregnant woman read online cold shower cure malaria start take cold shower regularly still suffer malaria,"Malaria, Cold showers, Misinformation, Internet myths",How would you correct Chloe's misconception about cold showers and malaria? How would you provide her with accurate information on malaria treatment during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend health education talks? Do you attend ANC? Which measures do you employ to fight against malaria.,Having cold showers cures malaria.,Cold showers are good for the skin but there contribution to cure of malaria is not scientifically proven.,Attend health education talks. Attend ANC regularly. Take antimalarials as prescribed.
scarlett 25 year old pregnant woman hear friend wear amulet protect malaria avoid use bed net fall sick due malaria,"Malaria, Amulets, Protection myths, Bed nets",How would you address Scarlett's beliefs about amulets and malaria? How would you encourage her to use bed nets and other preventive measures during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Which measures do you employ to fight against malaria? How much do you know about malaria? Do you attend ANC?,Wearing amulets protects one from malaria.,"There are a number of measures that protect from malaria contraction, wearing amulets is not proven to be one of them.",Attend ANC regularly. Attend health education talks for accurate information. Employ measures to fight against malaria.
genesis 29 year old pregnant woman see post social medium claim eat spicy food prevent malaria start eat spicy food get malaria,"Malaria, Spicy food, Social media, Prevention myths",How would you correct Genesis's misinformation about spicy food and malaria prevention? How would you provide her with evidence-based information on malaria prevention during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",which measures do you employ to fight malaria? Do you attend ANC? ,Eating  spicy foods protects from malaria.,Spicy foods contains minerals and vitamins but they are not enough to protect one from malaria.,Attend ANC regularly. Attend health education talks for accurate information. Take antimalarials as prescribed.
lily 27 year old pregnant woman hear relative malaria result ancestral curse become anxious avoid seek medical care,"Malaria, Ancestral curses, Beliefs, Anxiety",How would you address Lily's beliefs about ancestral curses and malaria? How would you provide her with accurate information on the causes and treatment of malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Which measures do you employ to fight against malaria? Do you attend ANC?,Malaria is a result of anscestral curses.,"Malaria is caused by a bite from an infected mosquito, anyone can get it, cursed or not.",Attend ANC regularly. Attend health education talks for accurate information. Take antimalarials as prescribed.
ellie 28 year old pregnant woman read online walk barefoot attract malaria start wear shoe time still get malaria,"Malaria, Walking barefoot, Misinformation, Internet myths",How would you correct Ellie's misconception about walking barefoot and malaria? How would you provide her with evidence-based information on malaria prevention during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Where do you get your health related information? How much do you know about malaria? Do you attend ANC?,Walking barefoot attracts malaria.,"Malaria is caused by a bite from an infected mosquito, it has nothing to do with walking barefoot or not.",Attend ANC regularly. Adopt measures to fight malaria. Attend heallth education talks for accurate information.
aria 30 year old pregnant woman see post social medium claim malaria government conspiracy avoid medical treatment suffer complication due malaria,"Malaria, Government conspiracy, Social media, Misinformation",How would you address Aria's belief in conspiracy theories related to malaria? How would you ensure her adherence to evidence-based treatments for malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend ANC? Which measures do you employ to fight malaria?,Malaria is a government consipiracy.,"Malaria is a disease caused by a bite from an infected mosquito, anyone whether government worker or not, can suffer from it. It is not a government consipiracy.",Attend ANC regularly. Adopt measures to fight malaria. Attend heallth education talks.
victoria 26 year old pregnant woman hear friend malaria cure drink alcohol start drink alcohol condition worsen,"Malaria, Alcohol, Cure myths, Misinformation",How would you correct Victoria's misinformation about alcohol and malaria treatment? How would you provide her with accurate information on malaria treatment during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend ANC? Do you attend health education talks? Which measures do you employ to fight malaria?,Drinking alcohol cures malaria.,"Malaria is caused by an infected mosquito bite, alcohol is bad when taekn in excess and it does not cure malaria.",Attend health education talks. Attend ANC regularly. Take antimalarials as prescribed.
nova 27 year old pregnant woman read online pet cat protect malaria get cat still fall sick due malaria,"Malaria, Pet cat, Protection myths, Misinformation",How would you address Nova's beliefs about pet cats and malaria? How would you provide her with evidence-based information on malaria prevention during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend ANC? Do you attend health education talks? Which mdeasures do you employ to fight malaria?,Having a pet cat protects from malaria.,"Malaria is caused by an infected mosquito bite, this is not connected to a acat in any way.",Attend ANC regularly. Adopt measures to fight malaria. Attend heallth education talks.
serenity 29 year old pregnant woman see post social medium claim chant prayer cure malaria avoid medical treatment relie prayer,"Malaria, Chanting prayers, Cure myths, Social media",How would you correct Serenity's misinformation about prayers and malaria treatment? How would you ensure her adherence to evidence-based treatments for malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend ANC? Which measures do you employ to fight malaria?,Chanting prayers cure malaria.,"Prayers build one's faith, malaria is cured by medication prescribed with God's will in the healing.",Attend ANC regularly. Adopt measures to fight malaria. Attend heallth education talks.
autumn 28 year old pregnant woman hear relative wear red clothe attract malaria avoid wear red clothe get malaria,"Malaria, Red clothes, Attraction myths, Misinformation",How would you correct Autumn's misconception about red clothes and malaria? How would you provide her with evidence-based information on malaria prevention during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",which measures do you employ to fight malaria? Do you attend ANC?,Wearing red clothes keeps mosquitoes away.,"Mosquiitoes are not kept away by clothes, they bite regardless of the color.",Adopt measures to fight against malaria. Attend ANC regularly.
